VARIABLE	DESCRIPTION	TYPE	KEY	MINVAL	MAXVAL	CHOICESET	REQUIRED	LENGTH	VALUEFUNCTION	DEFAULT	VALUEFORMATREGEXP	BCDBITRATE
DRUG_EXPOSURE_ID	drug_exposure_id	Integer	1				yes					
PERSON_ID	person_id	Integer										
DRUG_CONCEPT_ID	drug_concept_id	Integer										
DRUG_EXPOSURE_START_DATE	drug_exposure_start_date	Date										
DRUG_EXPOSURE_START_DATETIME	drug_exposure_start_datetime	Timestamp										
DRUG_EXPOSURE_END_DATE	drug_exposure_end_date	Date										
DRUG_EXPOSURE_END_DATETIME	drug_exposure_end_datetime	Timestamp										
VERBATIM_END_DATE	verbatim_end_date	Date										
DRUG_TYPE_CONCEPT_ID	drug_type_concept_id	Integer										
STOP_REASON	stop_reason	Text						20				
REFILLS	refills	Integer										
QUANTITY	quantity	Float										
DAYS_SUPPLY	days_supply	Integer										
SIG	sig	Integer										
ROUTE_CONCEPT_ID	route_concept_id	Integer										
LOT_NUMBER	lot_number	Text						50				
PROVIDER_ID	provider_id	Integer										
VISIT_OCCURRENCE_ID	visit_occurrence_id	Integer										
DRUG_SOURCE_VALUE	drug_source_value	Text						50				
DRUG_SOURCE_CONCEPT_ID	drug_source_concept_id	Integer										
ROUTE_SOURCE_VALUE	route_source_value	Text						50				
DOSE_UNIT_SOURCE_VALUE	dose_unit_source_value	Text						50				
